ID,age,age_rounded,category,subCategory,Difference,consistency,cognitive_abilities,income,degree
5,6,6.493150685,Agency,Agency_butterflies,0,0.584444951,0.291666667,more than $5000,Master's degree
5,6,6.493150685,Agency,Agency_doors,2,0.584444951,0.291666667,more than $5000,Master's degree
5,6,6.493150685,Social,Control_faces,1,0.584444951,0.291666667,more than $5000,Master's degree
5,6,6.493150685,Sensory,Control_texture,0,0.584444951,0.291666667,more than $5000,Master's degree
5,6,6.493150685,Knowledge,Information_poems,2,0.584444951,0.291666667,more than $5000,Master's degree
5,6,6.493150685,Knowledge,Information_trivia,-1,0.584444951,0.291666667,more than $5000,Master's degree
5,6,6.493150685,Novelty,Novelty_animals,0,0.584444951,0.291666667,more than $5000,Master's degree
5,6,6.493150685,Novelty,Novelty_repetitions,1,0.584444951,0.291666667,more than $5000,Master's degree
5,6,6.493150685,Uncertainty reduction,Uncertainty_cards,1,0.584444951,0.291666667,more than $5000,Master's degree
5,6,6.493150685,Uncertainty reduction,Uncertainty_pixels,3,0.584444951,0.291666667,more than $5000,Master's degree
6,6,6.739726027,Agency,Agency_butterflies,4,0.308270544,0.25,more than $5000,Master's degree
6,6,6.739726027,Agency,Agency_doors,-1,0.308270544,0.25,more than $5000,Master's degree
6,6,6.739726027,Social,Control_faces,1,0.308270544,0.25,more than $5000,Master's degree
6,6,6.739726027,Sensory,Control_texture,1,0.308270544,0.25,more than $5000,Master's degree
6,6,6.739726027,Knowledge,Information_poems,1,0.308270544,0.25,more than $5000,Master's degree
6,6,6.739726027,Knowledge,Information_trivia,-1,0.308270544,0.25,more than $5000,Master's degree
6,6,6.739726027,Novelty,Novelty_animals,0,0.308270544,0.25,more than $5000,Master's degree
6,6,6.739726027,Novelty,Novelty_repetitions,4,0.308270544,0.25,more than $5000,Master's degree
6,6,6.739726027,Uncertainty reduction,Uncertainty_cards,-3,0.308270544,0.25,more than $5000,Master's degree
6,6,6.739726027,Uncertainty reduction,Uncertainty_pixels,1,0.308270544,0.25,more than $5000,Master's degree
7,7,7.890410959,Agency,Agency_butterflies,0,0.378411504,0.208333333,between $2000 and $3000,Bachelor's degree
7,7,7.890410959,Agency,Agency_doors,0,0.378411504,0.208333333,between $2000 and $3000,Bachelor's degree
7,7,7.890410959,Social,Control_faces,0,0.378411504,0.208333333,between $2000 and $3000,Bachelor's degree
7,7,7.890410959,Sensory,Control_texture,0,0.378411504,0.208333333,between $2000 and $3000,Bachelor's degree
7,7,7.890410959,Knowledge,Information_poems,2,0.378411504,0.208333333,between $2000 and $3000,Bachelor's degree
7,7,7.890410959,Knowledge,Information_trivia,3,0.378411504,0.208333333,between $2000 and $3000,Bachelor's degree
7,7,7.890410959,Novelty,Novelty_animals,3,0.378411504,0.208333333,between $2000 and $3000,Bachelor's degree
7,7,7.890410959,Novelty,Novelty_repetitions,1,0.378411504,0.208333333,between $2000 and $3000,Bachelor's degree
7,7,7.890410959,Uncertainty reduction,Uncertainty_cards,1,0.378411504,0.208333333,between $2000 and $3000,Bachelor's degree
7,7,7.890410959,Uncertainty reduction,Uncertainty_pixels,-1,0.378411504,0.208333333,between $2000 and $3000,Bachelor's degree
8,11,11.17808219,Agency,Agency_butterflies,1,0.292446161,0.166666667,between $3000 and $5000,"Some college, no degree"
8,11,11.17808219,Agency,Agency_doors,0,0.292446161,0.166666667,between $3000 and $5000,"Some college, no degree"
8,11,11.17808219,Social,Control_faces,0,0.292446161,0.166666667,between $3000 and $5000,"Some college, no degree"
8,11,11.17808219,Sensory,Control_texture,-1,0.292446161,0.166666667,between $3000 and $5000,"Some college, no degree"
8,11,11.17808219,Knowledge,Information_poems,-1,0.292446161,0.166666667,between $3000 and $5000,"Some college, no degree"
8,11,11.17808219,Knowledge,Information_trivia,0,0.292446161,0.166666667,between $3000 and $5000,"Some college, no degree"
8,11,11.17808219,Novelty,Novelty_animals,-1,0.292446161,0.166666667,between $3000 and $5000,"Some college, no degree"
8,11,11.17808219,Novelty,Novelty_repetitions,0,0.292446161,0.166666667,between $3000 and $5000,"Some college, no degree"
8,11,11.17808219,Uncertainty reduction,Uncertainty_cards,0,0.292446161,0.166666667,between $3000 and $5000,"Some college, no degree"
8,11,11.17808219,Uncertainty reduction,Uncertainty_pixels,0,0.292446161,0.166666667,between $3000 and $5000,"Some college, no degree"
9,6,6.575342466,Agency,Agency_butterflies,-2,NA,NA,between $3000 and $5000,"Some college, no degree"
9,6,6.575342466,Agency,Agency_doors,5,NA,NA,between $3000 and $5000,"Some college, no degree"
9,6,6.575342466,Social,Control_faces,3,NA,NA,between $3000 and $5000,"Some college, no degree"
9,6,6.575342466,Sensory,Control_texture,6,NA,NA,between $3000 and $5000,"Some college, no degree"
9,6,6.575342466,Knowledge,Information_poems,-3,NA,NA,between $3000 and $5000,"Some college, no degree"
9,6,6.575342466,Knowledge,Information_trivia,1,NA,NA,between $3000 and $5000,"Some college, no degree"
9,6,6.575342466,Novelty,Novelty_animals,-2,NA,NA,between $3000 and $5000,"Some college, no degree"
9,6,6.575342466,Novelty,Novelty_repetitions,6,NA,NA,between $3000 and $5000,"Some college, no degree"
9,6,6.575342466,Uncertainty reduction,Uncertainty_cards,1,NA,NA,between $3000 and $5000,"Some college, no degree"
9,6,6.575342466,Uncertainty reduction,Uncertainty_pixels,3,NA,NA,between $3000 and $5000,"Some college, no degree"
10,5,5.917808219,Agency,Agency_butterflies,6,0.6831862,0.166666667,more than $5000,Master's degree
10,5,5.917808219,Agency,Agency_doors,3,0.6831862,0.166666667,more than $5000,Master's degree
10,5,5.917808219,Social,Control_faces,-3,0.6831862,0.166666667,more than $5000,Master's degree
10,5,5.917808219,Sensory,Control_texture,-1,0.6831862,0.166666667,more than $5000,Master's degree
10,5,5.917808219,Knowledge,Information_poems,-3,0.6831862,0.166666667,more than $5000,Master's degree
10,5,5.917808219,Knowledge,Information_trivia,3,0.6831862,0.166666667,more than $5000,Master's degree
10,5,5.917808219,Novelty,Novelty_animals,-2,0.6831862,0.166666667,more than $5000,Master's degree
10,5,5.917808219,Novelty,Novelty_repetitions,0,0.6831862,0.166666667,more than $5000,Master's degree
10,5,5.917808219,Uncertainty reduction,Uncertainty_cards,3,0.6831862,0.166666667,more than $5000,Master's degree
10,5,5.917808219,Uncertainty reduction,Uncertainty_pixels,3,0.6831862,0.166666667,more than $5000,Master's degree
11,10,10.93150685,Agency,Agency_butterflies,-2,0.316012864,0.416666667,less than $500,Bachelor's degree
11,10,10.93150685,Agency,Agency_doors,4,0.316012864,0.416666667,less than $500,Bachelor's degree
11,10,10.93150685,Social,Control_faces,0,0.316012864,0.416666667,less than $500,Bachelor's degree
11,10,10.93150685,Sensory,Control_texture,2,0.316012864,0.416666667,less than $500,Bachelor's degree
11,10,10.93150685,Knowledge,Information_poems,-1,0.316012864,0.416666667,less than $500,Bachelor's degree
11,10,10.93150685,Knowledge,Information_trivia,2,0.316012864,0.416666667,less than $500,Bachelor's degree
11,10,10.93150685,Novelty,Novelty_animals,2,0.316012864,0.416666667,less than $500,Bachelor's degree
11,10,10.93150685,Novelty,Novelty_repetitions,1,0.316012864,0.416666667,less than $500,Bachelor's degree
11,10,10.93150685,Uncertainty reduction,Uncertainty_cards,2,0.316012864,0.416666667,less than $500,Bachelor's degree
11,10,10.93150685,Uncertainty reduction,Uncertainty_pixels,2,0.316012864,0.416666667,less than $500,Bachelor's degree
12,4,4.438356164,Agency,Agency_butterflies,0,NA,0.208333333,between $3000 and $5000,"Professional degree (e.g., MD, JD)"
12,4,4.438356164,Agency,Agency_doors,0,NA,0.208333333,between $3000 and $5000,"Professional degree (e.g., MD, JD)"
12,4,4.438356164,Social,Control_faces,0,NA,0.208333333,between $3000 and $5000,"Professional degree (e.g., MD, JD)"
12,4,4.438356164,Sensory,Control_texture,0,NA,0.208333333,between $3000 and $5000,"Professional degree (e.g., MD, JD)"
12,4,4.438356164,Knowledge,Information_poems,0,NA,0.208333333,between $3000 and $5000,"Professional degree (e.g., MD, JD)"
12,4,4.438356164,Knowledge,Information_trivia,0,NA,0.208333333,between $3000 and $5000,"Professional degree (e.g., MD, JD)"
12,4,4.438356164,Novelty,Novelty_animals,0,NA,0.208333333,between $3000 and $5000,"Professional degree (e.g., MD, JD)"
12,4,4.438356164,Novelty,Novelty_repetitions,0,NA,0.208333333,between $3000 and $5000,"Professional degree (e.g., MD, JD)"
12,4,4.438356164,Uncertainty reduction,Uncertainty_cards,0,NA,0.208333333,between $3000 and $5000,"Professional degree (e.g., MD, JD)"
12,4,4.438356164,Uncertainty reduction,Uncertainty_pixels,0,NA,0.208333333,between $3000 and $5000,"Professional degree (e.g., MD, JD)"
13,10,10.52054795,Agency,Agency_butterflies,1,0.352728141,0.291666667,Prefer not to say,"Professional degree (e.g., MD, JD)"
13,10,10.52054795,Agency,Agency_doors,1,0.352728141,0.291666667,Prefer not to say,"Professional degree (e.g., MD, JD)"
13,10,10.52054795,Social,Control_faces,1,0.352728141,0.291666667,Prefer not to say,"Professional degree (e.g., MD, JD)"
13,10,10.52054795,Sensory,Control_texture,1,0.352728141,0.291666667,Prefer not to say,"Professional degree (e.g., MD, JD)"
13,10,10.52054795,Knowledge,Information_poems,2,0.352728141,0.291666667,Prefer not to say,"Professional degree (e.g., MD, JD)"
13,10,10.52054795,Knowledge,Information_trivia,6,0.352728141,0.291666667,Prefer not to say,"Professional degree (e.g., MD, JD)"
13,10,10.52054795,Novelty,Novelty_animals,3,0.352728141,0.291666667,Prefer not to say,"Professional degree (e.g., MD, JD)"
13,10,10.52054795,Novelty,Novelty_repetitions,2,0.352728141,0.291666667,Prefer not to say,"Professional degree (e.g., MD, JD)"
13,10,10.52054795,Uncertainty reduction,Uncertainty_cards,1,0.352728141,0.291666667,Prefer not to say,"Professional degree (e.g., MD, JD)"
13,10,10.52054795,Uncertainty reduction,Uncertainty_pixels,1,0.352728141,0.291666667,Prefer not to say,"Professional degree (e.g., MD, JD)"
14,6,6.739726027,Agency,Agency_butterflies,4,0.496359097,0.375,between $3000 and $5000,Bachelor's degree
14,6,6.739726027,Agency,Agency_doors,2,0.496359097,0.375,between $3000 and $5000,Bachelor's degree
14,6,6.739726027,Social,Control_faces,0,0.496359097,0.375,between $3000 and $5000,Bachelor's degree
14,6,6.739726027,Sensory,Control_texture,-4,0.496359097,0.375,between $3000 and $5000,Bachelor's degree
14,6,6.739726027,Knowledge,Information_poems,-1,0.496359097,0.375,between $3000 and $5000,Bachelor's degree
14,6,6.739726027,Knowledge,Information_trivia,-1,0.496359097,0.375,between $3000 and $5000,Bachelor's degree
14,6,6.739726027,Novelty,Novelty_animals,0,0.496359097,0.375,between $3000 and $5000,Bachelor's degree
14,6,6.739726027,Novelty,Novelty_repetitions,1,0.496359097,0.375,between $3000 and $5000,Bachelor's degree
14,6,6.739726027,Uncertainty reduction,Uncertainty_cards,0,0.496359097,0.375,between $3000 and $5000,Bachelor's degree
14,6,6.739726027,Uncertainty reduction,Uncertainty_pixels,1,0.496359097,0.375,between $3000 and $5000,Bachelor's degree
15,7,7.808219178,Agency,Agency_butterflies,6,NA,NA,between $3000 and $5000,Bachelor's degree
15,7,7.808219178,Agency,Agency_doors,6,NA,NA,between $3000 and $5000,Bachelor's degree
15,7,7.808219178,Social,Control_faces,0,NA,NA,between $3000 and $5000,Bachelor's degree
15,7,7.808219178,Sensory,Control_texture,6,NA,NA,between $3000 and $5000,Bachelor's degree
15,7,7.808219178,Knowledge,Information_poems,3,NA,NA,between $3000 and $5000,Bachelor's degree
15,7,7.808219178,Knowledge,Information_trivia,-1,NA,NA,between $3000 and $5000,Bachelor's degree
15,7,7.808219178,Novelty,Novelty_animals,-2,NA,NA,between $3000 and $5000,Bachelor's degree
15,7,7.808219178,Novelty,Novelty_repetitions,1,NA,NA,between $3000 and $5000,Bachelor's degree
15,7,7.808219178,Uncertainty reduction,Uncertainty_cards,-3,NA,NA,between $3000 and $5000,Bachelor's degree
15,7,7.808219178,Uncertainty reduction,Uncertainty_pixels,-3,NA,NA,between $3000 and $5000,Bachelor's degree
16,7,7.808219178,Agency,Agency_butterflies,0,NA,NA,between $3000 and $5000,Bachelor's degree
16,7,7.808219178,Agency,Agency_doors,6,NA,NA,between $3000 and $5000,Bachelor's degree
16,7,7.808219178,Social,Control_faces,6,NA,NA,between $3000 and $5000,Bachelor's degree
16,7,7.808219178,Sensory,Control_texture,6,NA,NA,between $3000 and $5000,Bachelor's degree
16,7,7.808219178,Knowledge,Information_poems,6,NA,NA,between $3000 and $5000,Bachelor's degree
16,7,7.808219178,Knowledge,Information_trivia,-1,NA,NA,between $3000 and $5000,Bachelor's degree
16,7,7.808219178,Novelty,Novelty_animals,6,NA,NA,between $3000 and $5000,Bachelor's degree
16,7,7.808219178,Novelty,Novelty_repetitions,6,NA,NA,between $3000 and $5000,Bachelor's degree
16,7,7.808219178,Uncertainty reduction,Uncertainty_cards,6,NA,NA,between $3000 and $5000,Bachelor's degree
16,7,7.808219178,Uncertainty reduction,Uncertainty_pixels,3,NA,NA,between $3000 and $5000,Bachelor's degree
17,7,7.97260274,Agency,Agency_butterflies,4,0.414244072,0.208333333,Prefer not to say,"Professional degree (e.g., MD, JD)"
17,7,7.97260274,Agency,Agency_doors,6,0.414244072,0.208333333,Prefer not to say,"Professional degree (e.g., MD, JD)"
17,7,7.97260274,Social,Control_faces,1,0.414244072,0.208333333,Prefer not to say,"Professional degree (e.g., MD, JD)"
17,7,7.97260274,Sensory,Control_texture,-1,0.414244072,0.208333333,Prefer not to say,"Professional degree (e.g., MD, JD)"
17,7,7.97260274,Knowledge,Information_poems,-2,0.414244072,0.208333333,Prefer not to say,"Professional degree (e.g., MD, JD)"
17,7,7.97260274,Knowledge,Information_trivia,2,0.414244072,0.208333333,Prefer not to say,"Professional degree (e.g., MD, JD)"
17,7,7.97260274,Novelty,Novelty_animals,2,0.414244072,0.208333333,Prefer not to say,"Professional degree (e.g., MD, JD)"
17,7,7.97260274,Novelty,Novelty_repetitions,2,0.414244072,0.208333333,Prefer not to say,"Professional degree (e.g., MD, JD)"
17,7,7.97260274,Uncertainty reduction,Uncertainty_cards,1,0.414244072,0.208333333,Prefer not to say,"Professional degree (e.g., MD, JD)"
17,7,7.97260274,Uncertainty reduction,Uncertainty_pixels,-1,0.414244072,0.208333333,Prefer not to say,"Professional degree (e.g., MD, JD)"
18,10,10.76712329,Agency,Agency_butterflies,0,NA,NA,Prefer not to say,"Professional degree (e.g., MD, JD)"
18,10,10.76712329,Agency,Agency_doors,1,NA,NA,Prefer not to say,"Professional degree (e.g., MD, JD)"
18,10,10.76712329,Social,Control_faces,2,NA,NA,Prefer not to say,"Professional degree (e.g., MD, JD)"
18,10,10.76712329,Sensory,Control_texture,0,NA,NA,Prefer not to say,"Professional degree (e.g., MD, JD)"
18,10,10.76712329,Knowledge,Information_poems,-3,NA,NA,Prefer not to say,"Professional degree (e.g., MD, JD)"
18,10,10.76712329,Knowledge,Information_trivia,1,NA,NA,Prefer not to say,"Professional degree (e.g., MD, JD)"
18,10,10.76712329,Novelty,Novelty_animals,3,NA,NA,Prefer not to say,"Professional degree (e.g., MD, JD)"
18,10,10.76712329,Novelty,Novelty_repetitions,3,NA,NA,Prefer not to say,"Professional degree (e.g., MD, JD)"
18,10,10.76712329,Uncertainty reduction,Uncertainty_cards,0,NA,NA,Prefer not to say,"Professional degree (e.g., MD, JD)"
18,10,10.76712329,Uncertainty reduction,Uncertainty_pixels,-5,NA,NA,Prefer not to say,"Professional degree (e.g., MD, JD)"
19,9,9.123287671,Agency,Agency_butterflies,0,0.443522405,0.291666667,between $500 and $1000,Bachelor's degree
19,9,9.123287671,Agency,Agency_doors,0,0.443522405,0.291666667,between $500 and $1000,Bachelor's degree
19,9,9.123287671,Social,Control_faces,0,0.443522405,0.291666667,between $500 and $1000,Bachelor's degree
19,9,9.123287671,Sensory,Control_texture,2,0.443522405,0.291666667,between $500 and $1000,Bachelor's degree
19,9,9.123287671,Knowledge,Information_poems,0,0.443522405,0.291666667,between $500 and $1000,Bachelor's degree
19,9,9.123287671,Knowledge,Information_trivia,-6,0.443522405,0.291666667,between $500 and $1000,Bachelor's degree
19,9,9.123287671,Novelty,Novelty_animals,5,0.443522405,0.291666667,between $500 and $1000,Bachelor's degree
19,9,9.123287671,Novelty,Novelty_repetitions,0,0.443522405,0.291666667,between $500 and $1000,Bachelor's degree
19,9,9.123287671,Uncertainty reduction,Uncertainty_cards,5,0.443522405,0.291666667,between $500 and $1000,Bachelor's degree
19,9,9.123287671,Uncertainty reduction,Uncertainty_pixels,3,0.443522405,0.291666667,between $500 and $1000,Bachelor's degree
20,5,5.917808219,Agency,Agency_butterflies,1,-0.134907059,0.25,between $500 and $1000,Bachelor's degree
20,5,5.917808219,Agency,Agency_doors,0,-0.134907059,0.25,between $500 and $1000,Bachelor's degree
20,5,5.917808219,Social,Control_faces,3,-0.134907059,0.25,between $500 and $1000,Bachelor's degree
20,5,5.917808219,Sensory,Control_texture,3,-0.134907059,0.25,between $500 and $1000,Bachelor's degree
20,5,5.917808219,Knowledge,Information_poems,3,-0.134907059,0.25,between $500 and $1000,Bachelor's degree
20,5,5.917808219,Knowledge,Information_trivia,6,-0.134907059,0.25,between $500 and $1000,Bachelor's degree
20,5,5.917808219,Novelty,Novelty_animals,0,-0.134907059,0.25,between $500 and $1000,Bachelor's degree
20,5,5.917808219,Novelty,Novelty_repetitions,5,-0.134907059,0.25,between $500 and $1000,Bachelor's degree
20,5,5.917808219,Uncertainty reduction,Uncertainty_cards,1,-0.134907059,0.25,between $500 and $1000,Bachelor's degree
20,5,5.917808219,Uncertainty reduction,Uncertainty_pixels,0,-0.134907059,0.25,between $500 and $1000,Bachelor's degree
21,11,11.50684932,Agency,Agency_butterflies,0,-0.440078598,0.458333333,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
21,11,11.50684932,Agency,Agency_doors,0,-0.440078598,0.458333333,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
21,11,11.50684932,Social,Control_faces,2,-0.440078598,0.458333333,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
21,11,11.50684932,Sensory,Control_texture,1,-0.440078598,0.458333333,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
21,11,11.50684932,Knowledge,Information_poems,3,-0.440078598,0.458333333,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
21,11,11.50684932,Knowledge,Information_trivia,3,-0.440078598,0.458333333,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
21,11,11.50684932,Novelty,Novelty_animals,2,-0.440078598,0.458333333,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
21,11,11.50684932,Novelty,Novelty_repetitions,1,-0.440078598,0.458333333,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
21,11,11.50684932,Uncertainty reduction,Uncertainty_cards,5,-0.440078598,0.458333333,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
21,11,11.50684932,Uncertainty reduction,Uncertainty_pixels,-1,-0.440078598,0.458333333,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
22,12,12.57534247,Agency,Agency_butterflies,2,NA,NA,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
22,12,12.57534247,Agency,Agency_doors,2,NA,NA,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
22,12,12.57534247,Social,Control_faces,0,NA,NA,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
22,12,12.57534247,Sensory,Control_texture,0,NA,NA,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
22,12,12.57534247,Knowledge,Information_poems,3,NA,NA,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
22,12,12.57534247,Knowledge,Information_trivia,3,NA,NA,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
22,12,12.57534247,Novelty,Novelty_animals,2,NA,NA,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
22,12,12.57534247,Novelty,Novelty_repetitions,4,NA,NA,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
22,12,12.57534247,Uncertainty reduction,Uncertainty_cards,0,NA,NA,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
22,12,12.57534247,Uncertainty reduction,Uncertainty_pixels,2,NA,NA,more than $5000,"Doctorate degree (e.g., PhD, EdD)"
23,10,10.84931507,Agency,Agency_butterflies,5,0.548906794,0.333333333,between $1000 and $1500,Master's degree
23,10,10.84931507,Agency,Agency_doors,4,0.548906794,0.333333333,between $1000 and $1500,Master's degree
23,10,10.84931507,Social,Control_faces,0,0.548906794,0.333333333,between $1000 and $1500,Master's degree
23,10,10.84931507,Sensory,Control_texture,0,0.548906794,0.333333333,between $1000 and $1500,Master's degree
23,10,10.84931507,Knowledge,Information_poems,-1,0.548906794,0.333333333,between $1000 and $1500,Master's degree
23,10,10.84931507,Knowledge,Information_trivia,4,0.548906794,0.333333333,between $1000 and $1500,Master's degree
23,10,10.84931507,Novelty,Novelty_animals,0,0.548906794,0.333333333,between $1000 and $1500,Master's degree
23,10,10.84931507,Novelty,Novelty_repetitions,6,0.548906794,0.333333333,between $1000 and $1500,Master's degree
23,10,10.84931507,Uncertainty reduction,Uncertainty_cards,6,0.548906794,0.333333333,between $1000 and $1500,Master's degree
23,10,10.84931507,Uncertainty reduction,Uncertainty_pixels,-1,0.548906794,0.333333333,between $1000 and $1500,Master's degree
24,12,12.08219178,Agency,Agency_butterflies,0,0.637247218,0.541666667,more than $5000,Bachelor's degree
24,12,12.08219178,Agency,Agency_doors,1,0.637247218,0.541666667,more than $5000,Bachelor's degree
24,12,12.08219178,Social,Control_faces,1,0.637247218,0.541666667,more than $5000,Bachelor's degree
24,12,12.08219178,Sensory,Control_texture,1,0.637247218,0.541666667,more than $5000,Bachelor's degree
24,12,12.08219178,Knowledge,Information_poems,0,0.637247218,0.541666667,more than $5000,Bachelor's degree
24,12,12.08219178,Knowledge,Information_trivia,3,0.637247218,0.541666667,more than $5000,Bachelor's degree
24,12,12.08219178,Novelty,Novelty_animals,1,0.637247218,0.541666667,more than $5000,Bachelor's degree
24,12,12.08219178,Novelty,Novelty_repetitions,2,0.637247218,0.541666667,more than $5000,Bachelor's degree
24,12,12.08219178,Uncertainty reduction,Uncertainty_cards,1,0.637247218,0.541666667,more than $5000,Bachelor's degree
24,12,12.08219178,Uncertainty reduction,Uncertainty_pixels,2,0.637247218,0.541666667,more than $5000,Bachelor's degree
25,6,6.98630137,Agency,Agency_butterflies,-1,0.69196704,0.166666667,between $3000 and $5000,"Some college, no degree"
25,6,6.98630137,Agency,Agency_doors,0,0.69196704,0.166666667,between $3000 and $5000,"Some college, no degree"
25,6,6.98630137,Social,Control_faces,-6,0.69196704,0.166666667,between $3000 and $5000,"Some college, no degree"
25,6,6.98630137,Sensory,Control_texture,0,0.69196704,0.166666667,between $3000 and $5000,"Some college, no degree"
25,6,6.98630137,Knowledge,Information_poems,6,0.69196704,0.166666667,between $3000 and $5000,"Some college, no degree"
25,6,6.98630137,Knowledge,Information_trivia,6,0.69196704,0.166666667,between $3000 and $5000,"Some college, no degree"
25,6,6.98630137,Novelty,Novelty_animals,0,0.69196704,0.166666667,between $3000 and $5000,"Some college, no degree"
25,6,6.98630137,Novelty,Novelty_repetitions,3,0.69196704,0.166666667,between $3000 and $5000,"Some college, no degree"
