,X,ID,age,age_rounded,category,subCategory,Difference,income,degree
35,35,3,10,10.10958904,Uncertainty reduction,Uncertainty_die,5,Prefer not to say,Master's degree
36,36,3,10,10.10958904,Uncertainty reduction,Uncertainty_pixels,5,Prefer not to say,Master's degree
37,37,4,5,5.917808219,Agency,Agency_butterflies,0,more than $5000,"Some college, no degree"
38,38,4,5,5.917808219,Agency,Agency_doors,1,more than $5000,"Some college, no degree"
39,39,4,5,5.917808219,Agency,Agency_envelopes,-3,more than $5000,"Some college, no degree"
40,40,4,5,5.917808219,Knowledge,Knowledge_pics,0,more than $5000,"Some college, no degree"
41,41,4,5,5.917808219,Knowledge,Knowledge_poems,0,more than $5000,"Some college, no degree"
42,42,4,5,5.917808219,Knowledge,Knowledge_trivia,2,more than $5000,"Some college, no degree"
43,43,4,5,5.917808219,Novelty,Novelty_animals,0,more than $5000,"Some college, no degree"
44,44,4,5,5.917808219,Novelty,Novelty_objects,0,more than $5000,"Some college, no degree"
45,45,4,5,5.917808219,Novelty,Novelty_repetitions,0,more than $5000,"Some college, no degree"
46,46,4,5,5.917808219,Uncertainty reduction,Uncertainty_cards,0,more than $5000,"Some college, no degree"
47,47,4,5,5.917808219,Uncertainty reduction,Uncertainty_die,-1,more than $5000,"Some college, no degree"
48,48,4,5,5.917808219,Uncertainty reduction,Uncertainty_pixels,6,more than $5000,"Some college, no degree"
49,49,5,8,8.383561644,Agency,Agency_butterflies,0,between $3000 and $5000,Master's degree
50,50,5,8,8.383561644,Agency,Agency_doors,0,between $3000 and $5000,Master's degree
51,51,5,8,8.383561644,Agency,Agency_envelopes,0,between $3000 and $5000,Master's degree
52,52,5,8,8.383561644,Knowledge,Knowledge_pics,0,between $3000 and $5000,Master's degree
53,53,5,8,8.383561644,Knowledge,Knowledge_poems,-4,between $3000 and $5000,Master's degree
54,54,5,8,8.383561644,Knowledge,Knowledge_trivia,0,between $3000 and $5000,Master's degree
55,55,5,8,8.383561644,Novelty,Novelty_animals,-4,between $3000 and $5000,Master's degree
56,56,5,8,8.383561644,Novelty,Novelty_objects,0,between $3000 and $5000,Master's degree
57,57,5,8,8.383561644,Novelty,Novelty_repetitions,0,between $3000 and $5000,Master's degree
58,58,5,8,8.383561644,Uncertainty reduction,Uncertainty_cards,2,between $3000 and $5000,Master's degree
59,59,5,8,8.383561644,Uncertainty reduction,Uncertainty_die,-1,between $3000 and $5000,Master's degree
60,60,5,8,8.383561644,Uncertainty reduction,Uncertainty_pixels,0,between $3000 and $5000,Master's degree
61,61,6,4,4.109589041,Agency,Agency_butterflies,1,more than $5000,Bachelor's degree
62,62,6,4,4.109589041,Agency,Agency_doors,2,more than $5000,Bachelor's degree
63,63,6,4,4.109589041,Agency,Agency_envelopes,0,more than $5000,Bachelor's degree
64,64,6,4,4.109589041,Knowledge,Knowledge_pics,-6,more than $5000,Bachelor's degree
65,65,6,4,4.109589041,Knowledge,Knowledge_poems,1,more than $5000,Bachelor's degree
66,66,6,4,4.109589041,Knowledge,Knowledge_trivia,6,more than $5000,Bachelor's degree
67,67,6,4,4.109589041,Novelty,Novelty_animals,3,more than $5000,Bachelor's degree
68,68,6,4,4.109589041,Novelty,Novelty_objects,-6,more than $5000,Bachelor's degree
69,69,6,4,4.109589041,Novelty,Novelty_repetitions,0,more than $5000,Bachelor's degree
70,70,6,4,4.109589041,Uncertainty reduction,Uncertainty_cards,-6,more than $5000,Bachelor's degree
71,71,6,4,4.109589041,Uncertainty reduction,Uncertainty_die,-6,more than $5000,Bachelor's degree
72,72,6,4,4.109589041,Uncertainty reduction,Uncertainty_pixels,-3,more than $5000,Bachelor's degree
73,73,7,11,11.09589041,Agency,Agency_butterflies,2,Prefer not to say,Master's degree
74,74,7,11,11.09589041,Agency,Agency_doors,2,Prefer not to say,Master's degree
75,75,7,11,11.09589041,Agency,Agency_envelopes,3,Prefer not to say,Master's degree
76,76,7,11,11.09589041,Knowledge,Knowledge_pics,0,Prefer not to say,Master's degree
77,77,7,11,11.09589041,Knowledge,Knowledge_poems,-4,Prefer not to say,Master's degree
78,78,7,11,11.09589041,Knowledge,Knowledge_trivia,2,Prefer not to say,Master's degree
79,79,7,11,11.09589041,Novelty,Novelty_animals,2,Prefer not to say,Master's degree
80,80,7,11,11.09589041,Novelty,Novelty_objects,4,Prefer not to say,Master's degree
81,81,7,11,11.09589041,Novelty,Novelty_repetitions,3,Prefer not to say,Master's degree
82,82,7,11,11.09589041,Uncertainty reduction,Uncertainty_cards,1,Prefer not to say,Master's degree
83,83,7,11,11.09589041,Uncertainty reduction,Uncertainty_die,0,Prefer not to say,Master's degree
84,84,7,11,11.09589041,Uncertainty reduction,Uncertainty_pixels,-1,Prefer not to say,Master's degree
85,85,8,7,7.808219178,Agency,Agency_butterflies,-1,less than $500,Bachelor's degree
86,86,8,7,7.808219178,Agency,Agency_doors,0,less than $500,Bachelor's degree
87,87,8,7,7.808219178,Agency,Agency_envelopes,4,less than $500,Bachelor's degree
88,88,8,7,7.808219178,Knowledge,Knowledge_pics,0,less than $500,Bachelor's degree
89,89,8,7,7.808219178,Knowledge,Knowledge_poems,3,less than $500,Bachelor's degree
90,90,8,7,7.808219178,Knowledge,Knowledge_trivia,1,less than $500,Bachelor's degree
91,91,8,7,7.808219178,Novelty,Novelty_animals,-2,less than $500,Bachelor's degree
92,92,8,7,7.808219178,Novelty,Novelty_objects,3,less than $500,Bachelor's degree
93,93,8,7,7.808219178,Novelty,Novelty_repetitions,2,less than $500,Bachelor's degree
94,94,8,7,7.808219178,Uncertainty reduction,Uncertainty_cards,2,less than $500,Bachelor's degree
95,95,8,7,7.808219178,Uncertainty reduction,Uncertainty_die,-2,less than $500,Bachelor's degree
96,96,8,7,7.808219178,Uncertainty reduction,Uncertainty_pixels,1,less than $500,Bachelor's degree
97,97,9,5,5.01369863,Agency,Agency_butterflies,-6,Prefer not to say,"Professional degree (e.g., MD, JD)"
98,98,9,5,5.01369863,Agency,Agency_doors,0,Prefer not to say,"Professional degree (e.g., MD, JD)"
99,99,9,5,5.01369863,Agency,Agency_envelopes,-3,Prefer not to say,"Professional degree (e.g., MD, JD)"
100,100,9,5,5.01369863,Knowledge,Knowledge_pics,3,Prefer not to say,"Professional degree (e.g., MD, JD)"
101,101,9,5,5.01369863,Knowledge,Knowledge_poems,6,Prefer not to say,"Professional degree (e.g., MD, JD)"
102,102,9,5,5.01369863,Knowledge,Knowledge_trivia,0,Prefer not to say,"Professional degree (e.g., MD, JD)"
103,103,9,5,5.01369863,Novelty,Novelty_animals,-6,Prefer not to say,"Professional degree (e.g., MD, JD)"
104,104,9,5,5.01369863,Novelty,Novelty_objects,3,Prefer not to say,"Professional degree (e.g., MD, JD)"
105,105,9,5,5.01369863,Novelty,Novelty_repetitions,6,Prefer not to say,"Professional degree (e.g., MD, JD)"
106,106,9,5,5.01369863,Uncertainty reduction,Uncertainty_cards,0,Prefer not to say,"Professional degree (e.g., MD, JD)"
107,107,9,5,5.01369863,Uncertainty reduction,Uncertainty_die,6,Prefer not to say,"Professional degree (e.g., MD, JD)"
108,108,9,5,5.01369863,Uncertainty reduction,Uncertainty_pixels,0,Prefer not to say,"Professional degree (e.g., MD, JD)"
109,109,10,8,8.465753425,Agency,Agency_butterflies,2,between $2000 and $3000,Bachelor's degree
110,110,10,8,8.465753425,Agency,Agency_doors,1,between $2000 and $3000,Bachelor's degree
111,111,10,8,8.465753425,Agency,Agency_envelopes,3,between $2000 and $3000,Bachelor's degree
112,112,10,8,8.465753425,Knowledge,Knowledge_pics,0,between $2000 and $3000,Bachelor's degree
113,113,10,8,8.465753425,Knowledge,Knowledge_poems,-2,between $2000 and $3000,Bachelor's degree
114,114,10,8,8.465753425,Knowledge,Knowledge_trivia,1,between $2000 and $3000,Bachelor's degree
115,115,10,8,8.465753425,Novelty,Novelty_animals,4,between $2000 and $3000,Bachelor's degree
116,116,10,8,8.465753425,Novelty,Novelty_objects,0,between $2000 and $3000,Bachelor's degree
117,117,10,8,8.465753425,Novelty,Novelty_repetitions,2,between $2000 and $3000,Bachelor's degree
118,118,10,8,8.465753425,Uncertainty reduction,Uncertainty_cards,3,between $2000 and $3000,Bachelor's degree
119,119,10,8,8.465753425,Uncertainty reduction,Uncertainty_die,4,between $2000 and $3000,Bachelor's degree
120,120,10,8,8.465753425,Uncertainty reduction,Uncertainty_pixels,6,between $2000 and $3000,Bachelor's degree
121,121,11,8,8.547945205,Agency,Agency_butterflies,0,more than $5000,Master's degree
122,122,11,8,8.547945205,Agency,Agency_doors,0,more than $5000,Master's degree
123,123,11,8,8.547945205,Agency,Agency_envelopes,-2,more than $5000,Master's degree
124,124,11,8,8.547945205,Knowledge,Knowledge_pics,-1,more than $5000,Master's degree
125,125,11,8,8.547945205,Knowledge,Knowledge_poems,-1,more than $5000,Master's degree
126,126,11,8,8.547945205,Knowledge,Knowledge_trivia,2,more than $5000,Master's degree
127,127,11,8,8.547945205,Novelty,Novelty_animals,0,more than $5000,Master's degree
128,128,11,8,8.547945205,Novelty,Novelty_objects,2,more than $5000,Master's degree
129,129,11,8,8.547945205,Novelty,Novelty_repetitions,2,more than $5000,Master's degree
130,130,11,8,8.547945205,Uncertainty reduction,Uncertainty_cards,2,more than $5000,Master's degree
131,131,11,8,8.547945205,Uncertainty reduction,Uncertainty_die,1,more than $5000,Master's degree
132,132,11,8,8.547945205,Uncertainty reduction,Uncertainty_pixels,-2,more than $5000,Master's degree
133,133,12,5,5.342465753,Agency,Agency_butterflies,0,more than $5000,Bachelor's degree
134,134,12,5,5.342465753,Agency,Agency_doors,0,more than $5000,Bachelor's degree
135,135,12,5,5.342465753,Agency,Agency_envelopes,0,more than $5000,Bachelor's degree
136,136,12,5,5.342465753,Knowledge,Knowledge_pics,0,more than $5000,Bachelor's degree
137,137,12,5,5.342465753,Knowledge,Knowledge_poems,0,more than $5000,Bachelor's degree
138,138,12,5,5.342465753,Knowledge,Knowledge_trivia,0,more than $5000,Bachelor's degree
139,139,12,5,5.342465753,Novelty,Novelty_animals,0,more than $5000,Bachelor's degree
140,140,12,5,5.342465753,Novelty,Novelty_objects,0,more than $5000,Bachelor's degree
141,141,12,5,5.342465753,Novelty,Novelty_repetitions,0,more than $5000,Bachelor's degree
142,142,12,5,5.342465753,Uncertainty reduction,Uncertainty_cards,0,more than $5000,Bachelor's degree
143,143,12,5,5.342465753,Uncertainty reduction,Uncertainty_die,0,more than $5000,Bachelor's degree
144,144,12,5,5.342465753,Uncertainty reduction,Uncertainty_pixels,0,more than $5000,Bachelor's degree
145,145,13,10,10.19178082,Agency,Agency_butterflies,0,more than $5000,Master's degree
146,146,13,10,10.19178082,Agency,Agency_doors,-2,more than $5000,Master's degree
147,147,13,10,10.19178082,Agency,Agency_envelopes,-2,more than $5000,Master's degree
148,148,13,10,10.19178082,Knowledge,Knowledge_pics,2,more than $5000,Master's degree
149,149,13,10,10.19178082,Knowledge,Knowledge_poems,2,more than $5000,Master's degree
150,150,13,10,10.19178082,Knowledge,Knowledge_trivia,2,more than $5000,Master's degree
151,151,13,10,10.19178082,Novelty,Novelty_animals,1,more than $5000,Master's degree
152,152,13,10,10.19178082,Novelty,Novelty_objects,3,more than $5000,Master's degree
153,153,13,10,10.19178082,Novelty,Novelty_repetitions,4,more than $5000,Master's degree
154,154,13,10,10.19178082,Uncertainty reduction,Uncertainty_cards,1,more than $5000,Master's degree
155,155,13,10,10.19178082,Uncertainty reduction,Uncertainty_die,1,more than $5000,Master's degree
156,156,13,10,10.19178082,Uncertainty reduction,Uncertainty_pixels,2,more than $5000,Master's degree
157,157,14,11,12,Agency,Agency_butterflies,1,between $3000 and $5000,Bachelor's degree
158,158,14,11,12,Agency,Agency_doors,0,between $3000 and $5000,Bachelor's degree
159,159,14,11,12,Agency,Agency_envelopes,0,between $3000 and $5000,Bachelor's degree
160,160,14,11,12,Knowledge,Knowledge_pics,0,between $3000 and $5000,Bachelor's degree
161,161,14,11,12,Knowledge,Knowledge_poems,0,between $3000 and $5000,Bachelor's degree
162,162,14,11,12,Knowledge,Knowledge_trivia,0,between $3000 and $5000,Bachelor's degree
163,163,14,11,12,Novelty,Novelty_animals,0,between $3000 and $5000,Bachelor's degree
164,164,14,11,12,Novelty,Novelty_objects,0,between $3000 and $5000,Bachelor's degree
165,165,14,11,12,Novelty,Novelty_repetitions,1,between $3000 and $5000,Bachelor's degree
166,166,14,11,12,Uncertainty reduction,Uncertainty_cards,0,between $3000 and $5000,Bachelor's degree
167,167,14,11,12,Uncertainty reduction,Uncertainty_die,0,between $3000 and $5000,Bachelor's degree
168,168,14,11,12,Uncertainty reduction,Uncertainty_pixels,0,between $3000 and $5000,Bachelor's degree
169,169,15,5,5.01369863,Agency,Agency_butterflies,0,Prefer not to say,Master's degree
170,170,15,5,5.01369863,Agency,Agency_doors,0,Prefer not to say,Master's degree
171,171,15,5,5.01369863,Agency,Agency_envelopes,0,Prefer not to say,Master's degree
172,172,15,5,5.01369863,Knowledge,Knowledge_pics,0,Prefer not to say,Master's degree
173,173,15,5,5.01369863,Knowledge,Knowledge_poems,0,Prefer not to say,Master's degree
174,174,15,5,5.01369863,Knowledge,Knowledge_trivia,0,Prefer not to say,Master's degree
175,175,15,5,5.01369863,Novelty,Novelty_animals,0,Prefer not to say,Master's degree
176,176,15,5,5.01369863,Novelty,Novelty_objects,0,Prefer not to say,Master's degree
177,177,15,5,5.01369863,Novelty,Novelty_repetitions,3,Prefer not to say,Master's degree
178,178,15,5,5.01369863,Uncertainty reduction,Uncertainty_cards,0,Prefer not to say,Master's degree
179,179,15,5,5.01369863,Uncertainty reduction,Uncertainty_die,0,Prefer not to say,Master's degree
180,180,15,5,5.01369863,Uncertainty reduction,Uncertainty_pixels,0,Prefer not to say,Master's degree
181,181,16,8,8.465753425,Agency,Agency_butterflies,2,Prefer not to say,Bachelor's degree
182,182,16,8,8.465753425,Agency,Agency_doors,0,Prefer not to say,Bachelor's degree
183,183,16,8,8.465753425,Agency,Agency_envelopes,1,Prefer not to say,Bachelor's degree
184,184,16,8,8.465753425,Knowledge,Knowledge_pics,2,Prefer not to say,Bachelor's degree
185,185,16,8,8.465753425,Knowledge,Knowledge_poems,-2,Prefer not to say,Bachelor's degree
186,186,16,8,8.465753425,Knowledge,Knowledge_trivia,3,Prefer not to say,Bachelor's degree
187,187,16,8,8.465753425,Novelty,Novelty_animals,0,Prefer not to say,Bachelor's degree
188,188,16,8,8.465753425,Novelty,Novelty_objects,2,Prefer not to say,Bachelor's degree
189,189,16,8,8.465753425,Novelty,Novelty_repetitions,3,Prefer not to say,Bachelor's degree
190,190,16,8,8.465753425,Uncertainty reduction,Uncertainty_cards,0,Prefer not to say,Bachelor's degree
191,191,16,8,8.465753425,Uncertainty reduction,Uncertainty_die,-1,Prefer not to say,Bachelor's degree
192,192,16,8,8.465753425,Uncertainty reduction,Uncertainty_pixels,-2,Prefer not to say,Bachelor's degree
193,193,17,8,8.794520548,Agency,Agency_butterflies,0,Prefer not to say,Bachelor's degree
194,194,17,8,8.794520548,Agency,Agency_doors,0,Prefer not to say,Bachelor's degree
195,195,17,8,8.794520548,Agency,Agency_envelopes,0,Prefer not to say,Bachelor's degree
196,196,17,8,8.794520548,Knowledge,Knowledge_pics,0,Prefer not to say,Bachelor's degree
197,197,17,8,8.794520548,Knowledge,Knowledge_poems,-1,Prefer not to say,Bachelor's degree
198,198,17,8,8.794520548,Knowledge,Knowledge_trivia,0,Prefer not to say,Bachelor's degree
199,199,17,8,8.794520548,Novelty,Novelty_animals,0,Prefer not to say,Bachelor's degree
200,200,17,8,8.794520548,Novelty,Novelty_objects,1,Prefer not to say,Bachelor's degree
201,201,17,8,8.794520548,Novelty,Novelty_repetitions,5,Prefer not to say,Bachelor's degree
202,202,17,8,8.794520548,Uncertainty reduction,Uncertainty_cards,1,Prefer not to say,Bachelor's degree
203,203,17,8,8.794520548,Uncertainty reduction,Uncertainty_die,1,Prefer not to say,Bachelor's degree
204,204,17,8,8.794520548,Uncertainty reduction,Uncertainty_pixels,3,Prefer not to say,Bachelor's degree
205,205,18,8,8.794520548,Agency,Agency_butterflies,-1,between $500 and $1000,Bachelor's degree
206,206,18,8,8.794520548,Agency,Agency_doors,-1,between $500 and $1000,Bachelor's degree
207,207,18,8,8.794520548,Agency,Agency_envelopes,0,between $500 and $1000,Bachelor's degree
208,208,18,8,8.794520548,Knowledge,Knowledge_pics,0,between $500 and $1000,Bachelor's degree
209,209,18,8,8.794520548,Knowledge,Knowledge_poems,4,between $500 and $1000,Bachelor's degree
210,210,18,8,8.794520548,Knowledge,Knowledge_trivia,3,between $500 and $1000,Bachelor's degree
211,211,18,8,8.794520548,Novelty,Novelty_animals,0,between $500 and $1000,Bachelor's degree
212,212,18,8,8.794520548,Novelty,Novelty_objects,2,between $500 and $1000,Bachelor's degree
213,213,18,8,8.794520548,Novelty,Novelty_repetitions,1,between $500 and $1000,Bachelor's degree
214,214,18,8,8.794520548,Uncertainty reduction,Uncertainty_cards,1,between $500 and $1000,Bachelor's degree
215,215,18,8,8.794520548,Uncertainty reduction,Uncertainty_die,0,between $500 and $1000,Bachelor's degree
216,216,18,8,8.794520548,Uncertainty reduction,Uncertainty_pixels,0,between $500 and $1000,Bachelor's degree
217,217,19,7,7.561643836,Agency,Agency_butterflies,1,between $3000 and $5000,Bachelor's degree
218,218,19,7,7.561643836,Agency,Agency_doors,3,between $3000 and $5000,Bachelor's degree
219,219,19,7,7.561643836,Agency,Agency_envelopes,2,between $3000 and $5000,Bachelor's degree
220,220,19,7,7.561643836,Knowledge,Knowledge_pics,0,between $3000 and $5000,Bachelor's degree
221,221,19,7,7.561643836,Knowledge,Knowledge_poems,4,between $3000 and $5000,Bachelor's degree
222,222,19,7,7.561643836,Knowledge,Knowledge_trivia,4,between $3000 and $5000,Bachelor's degree
223,223,19,7,7.561643836,Novelty,Novelty_animals,4,between $3000 and $5000,Bachelor's degree
224,224,19,7,7.561643836,Novelty,Novelty_objects,2,between $3000 and $5000,Bachelor's degree
225,225,19,7,7.561643836,Novelty,Novelty_repetitions,6,between $3000 and $5000,Bachelor's degree
226,226,19,7,7.561643836,Uncertainty reduction,Uncertainty_cards,0,between $3000 and $5000,Bachelor's degree
227,227,19,7,7.561643836,Uncertainty reduction,Uncertainty_die,4,between $3000 and $5000,Bachelor's degree
228,228,19,7,7.561643836,Uncertainty reduction,Uncertainty_pixels,0,between $3000 and $5000,Bachelor's degree
229,229,20,7,7.068493151,Agency,Agency_butterflies,-1,more than $5000,Master's degree
230,230,20,7,7.068493151,Agency,Agency_doors,-1,more than $5000,Master's degree
231,231,20,7,7.068493151,Agency,Agency_envelopes,-1,more than $5000,Master's degree
232,232,20,7,7.068493151,Knowledge,Knowledge_pics,0,more than $5000,Master's degree
233,233,20,7,7.068493151,Knowledge,Knowledge_poems,2,more than $5000,Master's degree
234,234,20,7,7.068493151,Knowledge,Knowledge_trivia,2,more than $5000,Master's degree
235,235,20,7,7.068493151,Novelty,Novelty_animals,3,more than $5000,Master's degree
236,236,20,7,7.068493151,Novelty,Novelty_objects,1,more than $5000,Master's degree
237,237,20,7,7.068493151,Novelty,Novelty_repetitions,2,more than $5000,Master's degree
238,238,20,7,7.068493151,Uncertainty reduction,Uncertainty_cards,6,more than $5000,Master's degree
239,239,20,7,7.068493151,Uncertainty reduction,Uncertainty_die,1,more than $5000,Master's degree
240,240,20,7,7.068493151,Uncertainty reduction,Uncertainty_pixels,0,more than $5000,Master's degree
241,241,21,5,5.095890411,Agency,Agency_butterflies,-1,more than $5000,Bachelor's degree
242,242,21,5,5.095890411,Agency,Agency_doors,-1,more than $5000,Bachelor's degree
243,243,21,5,5.095890411,Agency,Agency_envelopes,1,more than $5000,Bachelor's degree
244,244,21,5,5.095890411,Knowledge,Knowledge_pics,1,more than $5000,Bachelor's degree
245,245,21,5,5.095890411,Knowledge,Knowledge_poems,2,more than $5000,Bachelor's degree
246,246,21,5,5.095890411,Knowledge,Knowledge_trivia,-1,more than $5000,Bachelor's degree
247,247,21,5,5.095890411,Novelty,Novelty_animals,-1,more than $5000,Bachelor's degree
248,248,21,5,5.095890411,Novelty,Novelty_objects,0,more than $5000,Bachelor's degree
249,249,21,5,5.095890411,Novelty,Novelty_repetitions,3,more than $5000,Bachelor's degree
250,250,21,5,5.095890411,Uncertainty reduction,Uncertainty_cards,0,more than $5000,Bachelor's degree
251,251,21,5,5.095890411,Uncertainty reduction,Uncertainty_die,2,more than $5000,Bachelor's degree
252,252,21,5,5.095890411,Uncertainty reduction,Uncertainty_pixels,-2,more than $5000,Bachelor's degree
253,253,22,12,12.65753425,Agency,Agency_butterflies,0,more than $5000,Master's degree
254,254,22,12,12.65753425,Agency,Agency_doors,-1,more than $5000,Master's degree
255,255,22,12,12.65753425,Agency,Agency_envelopes,0,more than $5000,Master's degree
256,256,22,12,12.65753425,Knowledge,Knowledge_pics,2,more than $5000,Master's degree
257,257,22,12,12.65753425,Knowledge,Knowledge_poems,2,more than $5000,Master's degree
258,258,22,12,12.65753425,Knowledge,Knowledge_trivia,1,more than $5000,Master's degree
259,259,22,12,12.65753425,Novelty,Novelty_animals,-3,more than $5000,Master's degree
260,260,22,12,12.65753425,Novelty,Novelty_objects,1,more than $5000,Master's degree
261,261,22,12,12.65753425,Novelty,Novelty_repetitions,4,more than $5000,Master's degree
262,262,22,12,12.65753425,Uncertainty reduction,Uncertainty_cards,3,more than $5000,Master's degree
263,263,22,12,12.65753425,Uncertainty reduction,Uncertainty_die,4,more than $5000,Master's degree
264,264,22,12,12.65753425,Uncertainty reduction,Uncertainty_pixels,3,more than $5000,Master's degree
265,265,23,8,8.712328767,Agency,Agency_butterflies,0,Prefer not to say,Master's degree
266,266,23,8,8.712328767,Agency,Agency_doors,3,Prefer not to say,Master's degree
267,267,23,8,8.712328767,Agency,Agency_envelopes,2,Prefer not to say,Master's degree
268,268,23,8,8.712328767,Knowledge,Knowledge_pics,-2,Prefer not to say,Master's degree
269,269,23,8,8.712328767,Knowledge,Knowledge_poems,-2,Prefer not to say,Master's degree
270,270,23,8,8.712328767,Knowledge,Knowledge_trivia,-4,Prefer not to say,Master's degree
271,271,23,8,8.712328767,Novelty,Novelty_animals,4,Prefer not to say,Master's degree
272,272,23,8,8.712328767,Novelty,Novelty_objects,-1,Prefer not to say,Master's degree
273,273,23,8,8.712328767,Novelty,Novelty_repetitions,6,Prefer not to say,Master's degree
274,274,23,8,8.712328767,Uncertainty reduction,Uncertainty_cards,5,Prefer not to say,Master's degree
275,275,23,8,8.712328767,Uncertainty reduction,Uncertainty_die,0,Prefer not to say,Master's degree
276,276,23,8,8.712328767,Uncertainty reduction,Uncertainty_pixels,6,Prefer not to say,Master's degree
277,277,24,4,4.931506849,Agency,Agency_butterflies,-6,between $3000 and $5000,Master's degree
278,278,24,4,4.931506849,Agency,Agency_doors,6,between $3000 and $5000,Master's degree
279,279,24,4,4.931506849,Agency,Agency_envelopes,0,between $3000 and $5000,Master's degree
280,280,24,4,4.931506849,Knowledge,Knowledge_pics,0,between $3000 and $5000,Master's degree
281,281,24,4,4.931506849,Knowledge,Knowledge_poems,6,between $3000 and $5000,Master's degree
282,282,24,4,4.931506849,Knowledge,Knowledge_trivia,0,between $3000 and $5000,Master's degree
283,283,24,4,4.931506849,Novelty,Novelty_animals,0,between $3000 and $5000,Master's degree
284,284,24,4,4.931506849,Novelty,Novelty_objects,0,between $3000 and $5000,Master's degree
285,285,24,4,4.931506849,Novelty,Novelty_repetitions,-4,between $3000 and $5000,Master's degree
286,286,24,4,4.931506849,Uncertainty reduction,Uncertainty_cards,3,between $3000 and $5000,Master's degree
287,287,24,4,4.931506849,Uncertainty reduction,Uncertainty_die,-4,between $3000 and $5000,Master's degree
288,288,24,4,4.931506849,Uncertainty reduction,Uncertainty_pixels,0,between $3000 and $5000,Master's degree
289,289,25,4,4.191780822,Agency,Agency_butterflies,1,between $3000 and $5000,Bachelor's degree
290,290,25,4,4.191780822,Agency,Agency_doors,-1,between $3000 and $5000,Bachelor's degree
291,291,25,4,4.191780822,Agency,Agency_envelopes,1,between $3000 and $5000,Bachelor's degree
292,292,25,4,4.191780822,Knowledge,Knowledge_pics,-1,between $3000 and $5000,Bachelor's degree
293,293,25,4,4.191780822,Knowledge,Knowledge_poems,-1,between $3000 and $5000,Bachelor's degree
